Title,Price,Link,Text
Hoop Snake - Cryptid Nation: Kickstarter Edition - MetaZoo,US$4.01 · ‎In stock,https://www.tcgplayer.com/product/241311/metazoo-cryptid-nation-kickstarter-edition-hoop-snake,Product Details. Rarity:Silver; Number:54; Page Type:Beastie; Tribe:Fearsome Critter; Spellbook Limit:4; Aura Type:Forest; Total Aura Cost:3; LP:30 ...
Snow Snake - Cryptid Nation: Kickstarter Edition - MetaZoo,US$1.99 · ‎In stock,https://www.tcgplayer.com/product/241382/metazoo-cryptid-nation-kickstarter-edition-snow-snake,Product Details. Rarity:Bronze; Number:98; Page Type:Beastie; Tribe:Snake; Spellbook Limit:10; Aura Type:Earth; Total Aura Cost:1; LP:30; Traits:Defender ...
Bog - Cryptid Nation: First Edition Tribal Theme Decks - MetaZoo,US$2.40 · ‎In stock,https://www.tcgplayer.com/product/247532/metazoo-cryptid-nation-first-edition-tribal-theme-decks-bog,4 listings on TCGplayer for Bog - MetaZoo - When Bog is flipped face-up target Attacking Beastie does not Awaken at the start of your opponent's next turn.
Powerup Red - Cryptid Nation: Kickstarter Edition - MetaZoo,US$249.00 · ‎In stock,https://www.tcgplayer.com/product/241293/metazoo-cryptid-nation-kickstarter-edition-powerup-red,1 listing on TCGplayer for Powerup Red - MetaZoo - Place Powerup Red under target Beastie. While Powerup Red is under a Beastie the Beastie it is under ...
Lake Worth Monster - Cryptid Nation: Kickstarter Edition,US$3.40 · ‎In stock,https://www.tcgplayer.com/product/241365/metazoo-cryptid-nation-kickstarter-edition-lake-worth-monster,9 listings on TCGplayer for Lake Worth Monster - MetaZoo.
Lightning Glass - Cryptid Nation: Kickstarter Edition - MetaZoo,US$80.00 · ‎In stock,https://www.tcgplayer.com/product/241277/metazoo-cryptid-nation-kickstarter-edition-lightning-glass,5 listings on TCGplayer for Lightning Glass - MetaZoo - You may Fatigue this Page at any time to generate 2 LIGHTNING.
Dark Aura - Nightfall: First Edition - MetaZoo - TCGplayer,US$0.18 · ‎In stock,https://www.tcgplayer.com/product/252322/metazoo-nightfall-first-edition-dark-aura,34 listings on TCGplayer for Dark Aura - MetaZoo.
Lake - Cryptid Nation: Kickstarter Edition - MetaZoo - TCGplayer,US$9.90 · ‎In stock,https://www.tcgplayer.com/product/241612/metazoo-cryptid-nation-kickstarter-edition-lake,Product Details. Rarity:None; Number:155; Page Type:Terra; Spellbook Limit:40; Aura Type:Colorless. Current Price Points. Price Point Normal.
Beast Of Busco - Cryptid Nation: Kickstarter Edition - MetaZoo,US$39.00 · ‎In stock,https://www.tcgplayer.com/product/241259/metazoo-cryptid-nation-kickstarter-edition-beast-of-busco,3 listings on TCGplayer for Beast Of Busco - MetaZoo.
Catnap - Cryptid Nation: Kickstarter Edition - MetaZoo,US$3.55 · ‎In stock,https://www.tcgplayer.com/product/241410/metazoo-cryptid-nation-kickstarter-edition-catnap,12 listings on TCGplayer for Catnap - MetaZoo - Place a Sleep Indicator on target Beastie. Remove that Sleep Indicator at the end of your opponent's next ...
Dingbelle - Cryptid Nation: Kickstarter Edition Tribal Theme ...,US$45.00 · ‎In stock,https://www.tcgplayer.com/product/241578/metazoo-cryptid-nation-kickstarter-edition-tribal-theme-decks-dingbelle,2 listings on TCGplayer for Dingbelle - MetaZoo.
Giant Salamander - Cryptid Nation: First Edition - MetaZoo,US$0.50 · ‎In stock,https://www.tcgplayer.com/product/244855/metazoo-cryptid-nation-first-edition-giant-salamander,Product Details. Rarity:Bronze; Number:91; Page Type:Beastie; Tribe:Dinosaur; Spellbook Limit:5; Aura Type:Flame; Total Aura Cost:1; LP:50; Traits:Spirit ...
Forest God's Amber - Cryptid Nation: Kickstarter Edition,US$45.00 · ‎In stock,https://www.tcgplayer.com/product/241271/metazoo-cryptid-nation-kickstarter-edition-forest-gods-amber,3 listings on TCGplayer for Forest God's Amber - MetaZoo - You may Fatigue this Page at any time to generate 2 FOREST.
Batsquatch - Cryptid Nation: First Edition - MetaZoo - TCGplayer,US$0.39 · ‎In stock,https://www.tcgplayer.com/product/244797/metazoo-cryptid-nation-first-edition-batsquatch,Product Details. Rarity:Bronze; Number:42; Page Type:Beastie; Tribe:Sasquatch; Spellbook Limit:4; Aura Type:Dark; Total Aura Cost:3; LP:70; Traits:Flight ...
Mountain - Cryptid Nation: First Edition - MetaZoo - TCGplayer,US$0.30 · ‎In stock,https://www.tcgplayer.com/product/244929/metazoo-cryptid-nation-first-edition-mountain,Product Details · Rarity:None · Number:147 · Page Type:Terra · Spellbook Limit:40 · Aura Type:Colorless ...
Menehune - Cryptid Nation: Kickstarter Edition - MetaZoo,US$2.40 · ‎In stock,https://www.tcgplayer.com/product/241344/metazoo-cryptid-nation-kickstarter-edition-menehune,Product Details. Rarity:Silver; Number:104; Page Type:Beastie; Tribe:Humanoid; Spellbook Limit:4; Aura Type:Light; Total Aura Cost:2; LP:20 ...
MetaZoo - Release Event Medal (Kickstarter) - TCGplayer,US$19.99 · ‎In stock,https://www.tcgplayer.com/product/272784/metazoo-medals-release-event-medal-kickstarter,6 listings on TCGplayer for Release Event Medal (Kickstarter) - MetaZoo - The original owner of this Page attended a MetaZoo Cryptid Nation Release Event!
Fireball - Cryptid Nation: First Edition - MetaZoo - TCGplayer,US$0.60 · ‎In stock,https://www.tcgplayer.com/product/244834/metazoo-cryptid-nation-first-edition-fireball,15 listings on TCGplayer for Fireball - MetaZoo - Target Beastie Artifact or Caster is dealt 25 Damage and is inflicted with BURN.
Winter - Cryptid Nation: Kickstarter Edition - MetaZoo,US$7.75 · ‎In stock,https://www.tcgplayer.com/product/241613/metazoo-cryptid-nation-kickstarter-edition-winter,Product Details · Rarity:None · Number:149 · Page Type:Terra · Spellbook Limit:40 · Aura Type:Colorless ...
Earth Aura - Cryptid Nation: First Edition - MetaZoo - TCGplayer,US$0.20 · ‎In stock,https://www.tcgplayer.com/product/244822/metazoo-cryptid-nation-first-edition-earth-aura,Product Details · Rarity:Bronze · Number:134 · Page Type:Aura · Spellbook Limit:40 · Aura Type:Earth ...
Icy Path - Cryptid Nation: Kickstarter Edition - MetaZoo,US$2.40 · ‎In stock,https://www.tcgplayer.com/product/241316/metazoo-cryptid-nation-kickstarter-edition-icy-path,11 listings on TCGplayer for Icy Path - MetaZoo - This Spell may be Contracted when any Beastie declares an Attack even if it is not your turn.
Lightbeam - Cryptid Nation: First Edition - MetaZoo - TCGplayer,US$0.20 · ‎In stock,https://www.tcgplayer.com/product/244885/metazoo-cryptid-nation-first-edition-lightbeam,25 listings on TCGplayer for Lightbeam - MetaZoo - This Spell may only be Contracted if it is Daytime. Deal 50 Damage to target DARK Beastie or Artifact.
Rumptifusel - Cryptid Nation: Kickstarter Edition - MetaZoo,US$1.89 · ‎In stock,https://www.tcgplayer.com/product/241412/metazoo-cryptid-nation-kickstarter-edition-rumptifusel,Product Details. Rarity:Bronze; Number:59; Page Type:Beastie; Tribe:Fearsome Critter; Spellbook Limit:4; Aura Type:Forest; Total Aura Cost:1; LP:20 ...
Hide Behind - Cryptid Nation: Kickstarter Edition - MetaZoo,US$4.95 · ‎In stock,https://www.tcgplayer.com/product/241308/metazoo-cryptid-nation-kickstarter-edition-hide-behind,Product Details. Rarity:Silver; Number:53; Page Type:Beastie; Tribe:Fearsome Critter; Spellbook Limit:5; Aura Type:Dark; Total Aura Cost:2; LP:30 ...
Fireball - Cryptid Nation: First Edition Tribal Theme Decks,US$1.25,https://www.tcgplayer.com/product/247557/metazoo-cryptid-nation-first-edition-tribal-theme-decks-fireball,4 listings on TCGplayer for Fireball - MetaZoo - Target Beastie Artifact or Caster is dealt 25 Damage and inflicted with Burned.
Wapaloosie - Cryptid Nation: Kickstarter Edition - MetaZoo,US$3.40 · ‎In stock,https://www.tcgplayer.com/product/241372/metazoo-cryptid-nation-kickstarter-edition-wapaloosie,Product Details. Rarity:Bronze; Number:61; Page Type:Beastie; Tribe:Fearsome Critter; Spellbook Limit:4; Aura Type:Forest;Colorless; Total Aura Cost:3 ...
Piasa Bird - Cryptid Nation: Kickstarter Edition - MetaZoo,US$500.00 · ‎In stock,https://www.tcgplayer.com/product/241290/metazoo-cryptid-nation-kickstarter-edition-piasa-bird,Product Details. Rarity:Gold; Number:17; Page Type:Beastie; Tribe:Dragon; Spellbook Limit:1; Aura Type:Flame; Total Aura Cost:3; LP:90; Traits:Flight ...
Ice Storm - Cryptid Nation: Kickstarter Edition - MetaZoo,US$1.85,https://www.tcgplayer.com/product/241315/metazoo-cryptid-nation-kickstarter-edition-ice-storm,6 listings on TCGplayer for Ice Storm - MetaZoo - Choose an Effect: -Deal 25 Damage to target Beastie and COIN FLIP. If heads the chosen Beastie is ...
Chenoo - Nightfall: First Edition Release Event Deck - MetaZoo,US$9.00 · ‎In stock,https://www.tcgplayer.com/product/252299/metazoo-nightfall-first-edition-release-event-deck-chenoo,8 listings on TCGplayer for Chenoo - MetaZoo.
Cactus Cat - Cryptid Nation: Kickstarter Edition - MetaZoo,US$2.98 · ‎In stock,https://www.tcgplayer.com/product/241309/metazoo-cryptid-nation-kickstarter-edition-cactus-cat,Product Details. Rarity:Bronze; Number:84; Page Type:Beastie; Tribe:Fearsome Critter; Spellbook Limit:6; Aura Type:Earth; Total Aura Cost:2; LP:40 ...
Water Aura - Cryptid Nation: First Edition - MetaZoo - TCGplayer,US$0.13 · ‎In stock,https://www.tcgplayer.com/product/244895/metazoo-cryptid-nation-first-edition-water-aura,Product Details · Rarity:None · Number:140 · Page Type:Aura · Spellbook Limit:40 · Aura Type:Water ...
Dark Aura - Cryptid Nation: Kickstarter Edition - MetaZoo,US$8.94 · ‎In stock,https://www.tcgplayer.com/product/241324/metazoo-cryptid-nation-kickstarter-edition-dark-aura,6 listings on TCGplayer for Dark Aura - MetaZoo.
Mountain - Cryptid Nation: Kickstarter Edition - MetaZoo,US$4.00 · ‎In stock,https://www.tcgplayer.com/product/241621/metazoo-cryptid-nation-kickstarter-edition-mountain,9 listings on TCGplayer for Mountain - MetaZoo.
Frost Aura - Cryptid Nation: First Edition - MetaZoo - TCGplayer,US$0.25 · ‎In stock,https://www.tcgplayer.com/product/244846/metazoo-cryptid-nation-first-edition-frost-aura,Product Details · Rarity:Bronze · Number:136 · Page Type:Aura · Spellbook Limit:40 · Aura Type:Flame ...
Ground - Nightfall: First Edition - MetaZoo - TCGplayer,US$0.14,https://www.tcgplayer.com/product/252224/metazoo-nightfall-first-edition-ground,31 listings on TCGplayer for Ground - MetaZoo.
Scattershot - Cryptid Nation: First Edition - MetaZoo - TCGplayer,US$0.15 · ‎In stock,https://www.tcgplayer.com/product/244942/metazoo-cryptid-nation-first-edition-scattershot,21 listings on TCGplayer for Scattershot - MetaZoo - This Spell may be Contracted whenever a Spell you Contracted would deal Damage to a Page ...
Daytime - Cryptid Nation: Kickstarter Edition - MetaZoo,US$18.98,https://www.tcgplayer.com/product/241606/metazoo-cryptid-nation-kickstarter-edition-daytime,Product Details. Rarity:None; Number:150; Page Type:Terra; Spellbook Limit:40; Aura Type:Colorless. Current Price Points. Price Point Normal.
Chupacabra - Cryptid Nation: First Edition - MetaZoo,US$2.50 · ‎In stock,https://www.tcgplayer.com/product/244788/metazoo-cryptid-nation-first-edition-chupacabra,Product Details. Rarity:Gold; Number:1; Page Type:Beastie; Tribe:Bloodsucker; Spellbook Limit:5; Aura Type:Dark; Total Aura Cost:2; LP:50 ...
Kushtaka - Cryptid Nation: First Edition Tribal Theme Decks,US$14.44 · ‎In stock,https://www.tcgplayer.com/product/247569/metazoo-cryptid-nation-first-edition-tribal-theme-decks-kushtaka,5 listings on TCGplayer for Kushtaka - MetaZoo.
River - Cryptid Nation: First Edition - MetaZoo - TCGplayer,US$0.47 · ‎In stock,https://www.tcgplayer.com/product/244953/metazoo-cryptid-nation-first-edition-river,Product Details. Rarity:None; Number:158; Page Type:Terra; Spellbook Limit:40; Aura Type:Colorless. Current Price Points. Price Point Normal.
Island - Cryptid Nation: First Edition - MetaZoo - TCGplayer,US$0.27 · ‎In stock,https://www.tcgplayer.com/product/244877/metazoo-cryptid-nation-first-edition-island,Product Details · Rarity:None · Number:159 · Page Type:Terra · Spellbook Limit:40 · Aura Type:Colorless ...
Funeral Mountain Terrashot - Cryptid Nation: Kickstarter Edition,US$2.35 · ‎In stock,https://www.tcgplayer.com/product/241304/metazoo-cryptid-nation-kickstarter-edition-funeral-mountain-terrashot,15 listings on TCGplayer for Funeral Mountain Terrashot - MetaZoo.
Snipe - Wilderness: First Edition - MetaZoo - TCGplayer,US$15.95,https://www.tcgplayer.com/product/265822/metazoo-wilderness-first-edition-snipe,Product Details. Rarity:Gold; Number:20/165; Page Type:Beastie; Tribe:Bird; Spellbook Limit:1; Aura Type:Lightning; Total Aura Cost:5; LP:60 ...
Antimagic Field - Cryptid Nation: First Edition - MetaZoo,US$0.27 · ‎In stock,https://www.tcgplayer.com/product/244792/metazoo-cryptid-nation-first-edition-antimagic-field,16 listings on TCGplayer for Antimagic Field - MetaZoo - You may flip this face-down TRAP Page face-up whenever any opposing Caster Contracts a Spell.
Fog of War - Cryptid Nation: Kickstarter Edition - MetaZoo,US$3.65,https://www.tcgplayer.com/product/241362/metazoo-cryptid-nation-kickstarter-edition-fog-of-war,10 listings on TCGplayer for Fog of War - MetaZoo - Reveal all face-down Trap Pages (they are not considered flipped face-up) and then return them to their ...
Jack-O-Lantern Bomb - Nightfall: First Edition - MetaZoo,US$0.20 · ‎In stock,https://www.tcgplayer.com/product/252225/metazoo-nightfall-first-edition-jack-o-lantern-bomb,40 listings on TCGplayer for Jack-O-Lantern Bomb - MetaZoo - Deal 75 Damage to target Page and inflict it with Burn. -OR- If you control a Beastie with ...
Hide Behind - Cryptid Nation: First Edition - MetaZoo,US$0.20 · ‎In stock,https://www.tcgplayer.com/product/244866/metazoo-cryptid-nation-first-edition-hide-behind,Product Details. Rarity:Silver; Number:53; Page Type:Beastie; Tribe:Fearsome Critter; Spellbook Limit:5; Aura Type:Dark; Total Aura Cost:2; LP:30 ...
The Skeletons' Lanterns - Cryptid Nation: Kickstarter Edition,US$2.61,https://www.tcgplayer.com/product/241377/metazoo-cryptid-nation-kickstarter-edition-the-skeletons-lanterns,6 listings on TCGplayer for The Skeletons' Lanterns - MetaZoo - You may Fatigue The Skeletons' Lanterns whenever an opposing Caster Contracts a Dark Spell ...
Sewer Alligator - Cryptid Nation: Kickstarter Edition - MetaZoo,US$18.99 · ‎In stock,https://www.tcgplayer.com/product/241399/metazoo-cryptid-nation-kickstarter-edition-sewer-alligator,8 listings on TCGplayer for Sewer Alligator - MetaZoo.
Cosmic Aura - Cryptid Nation: Kickstarter Edition - MetaZoo,US$5.48 · ‎In stock,https://www.tcgplayer.com/product/241319/metazoo-cryptid-nation-kickstarter-edition-cosmic-aura,Product Details · Rarity:Bronze · Number:133 · Page Type:Aura · Tribe:Cookie · Spellbook Limit:40 · Aura Type:Cosmic ...